"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.340008458E0,2.373614044E0,-9.952952728E0,-2.520907745E0,1.053804002E1
1.349986458E0,2.358046417E0,-9.713750153E0,-1.158441010E0,1.006276853E1
1.359965458E0,2.256557465E0,-9.493258667E0,-4.604425049E-1,9.768624213E0
1.369943458E0,1.708696747E0,-1.022942780E1,5.089416504E-3,1.037115536E1
1.379922458E0,8.213420105E-1,-1.247580643E1,7.439529419E-2,1.250303497E1
1.389900458E0,-6.286926270E-2,-1.544473251E1,6.845265198E-1,1.546002236E1
1.399879458E0,-8.419990540E-1,-1.801219345E1,1.707199860E0,1.811249863E1
1.409857458E0,-1.657952271E0,-1.953213272E1,2.831811218E0,1.980586199E1
1.419836458E0,-2.900218964E0,-1.814376984E1,2.772235107E0,1.858205967E1
1.429814458E0,-4.277654572E0,-1.220277420E1,1.409169617E0,1.300737429E1
1.439793458E0,-4.932842102E0,-7.444918213E0,1.995350647E-1,8.933059534E0
1.449771458E0,-2.940934296E0,-8.327033844E0,6.524931335E-1,8.855186868E0
1.459750458E0,-6.218069458E-1,-1.027568161E1,1.002764740E0,1.034320132E1
1.469728458E0,1.009650421E0,-1.002779709E1,9.195378113E-1,1.012035860E1
1.479707458E0,1.907333679E0,-8.911418610E0,1.118623810E0,9.181645965E0
1.489685458E0,2.391127625E0,-8.289761353E0,1.249002686E0,8.717662663E0
1.499664458E0,2.365381165E0,-8.894952850E0,1.095122681E0,9.269007927E0
1.509642458E0,1.295705566E0,-1.028526169E1,-3.909869385E-1,1.037392557E1
1.519621458E0,-5.822891235E-2,-1.102891525E1,-1.288221130E0,1.110404773E1
1.529599458E0,-7.289840698E-1,-1.180699722E1,-9.846524048E-1,1.187038928E1
1.539578458E0,-1.246457977E0,-1.264660126E1,4.981640625E-1,1.271763926E1
1.549556458E0,-1.849853210E0,-1.221519836E1,3.094514923E0,1.273613170E1
1.559535458E0,-2.266885986E0,-1.082444046E1,4.586163025E0,1.197247571E1
1.569513458E0,-2.147584076E0,-9.071286163E0,4.444258118E0,1.032723488E1
1.579492458E0,-1.485660553E0,-7.695497131E0,3.532803497E0,8.597009011E0
1.589470458E0,-4.279600525E-1,-6.803502045E0,2.792443085E0,7.366717604E0
1.599449458E0,3.601510620E-1,-6.636898499E0,1.746717682E0,6.872346988E0
1.609427458E0,5.282514954E-1,-8.094567261E0,1.859133911E-1,8.113915982E0
1.619406458E0,5.204676819E-1,-9.329648895E0,-9.958790588E-1,9.397074556E0
1.629384458E0,8.170010376E-1,-9.421108704E0,-2.320175171E-1,9.459313507E0
1.639363458E0,1.053808594E0,-9.479038239E0,1.587448883E0,9.668643774E0
1.649341458E0,1.016685791E0,-9.666897583E0,1.710792389E0,9.869618507E0
1.659320458E0,1.557511139E0,-9.545949097E0,1.058598633E0,9.729934027E0
1.669298458E0,2.459535370E0,-9.172475739E0,9.431886292E-1,9.543229548E0
1.679277458E0,3.511098633E0,-8.801996155E0,1.596430206E0,9.609970828E0
1.689255458E0,4.579876099E0,-8.281977539E0,2.440824280E0,9.773640069E0
1.699234458E0,5.688021698E0,-7.829468536E0,2.604583740E0,1.002187731E1
1.709212458E0,6.106401672E0,-7.941286011E0,2.067201233E0,1.022866002E1
1.719191458E0,4.963378601E0,-8.656947784E0,-3.592529297E-2,9.978935951E0
1.729169458E0,3.838018799E0,-9.276808777E0,-1.622775421E0,1.016970843E1
1.739148458E0,3.160078583E0,-1.017718643E1,-1.309626617E0,1.073668209E1
1.749126458E0,2.273771667E0,-1.117201767E1,1.320254517E-1,1.140181771E1
1.759105458E0,1.273102570E0,-1.166868484E1,1.026864624E0,1.178276059E1
1.769083458E0,2.773731995E-1,-1.180864380E1,1.248703308E0,1.187772134E1
1.779062458E0,-4.694238281E-1,-1.155926239E1,1.173559570E0,1.162816184E1
1.789040458E0,-6.491999817E-1,-1.116438354E1,1.123713226E0,1.123955746E1
1.799019458E0,-2.471360779E-1,-1.060799057E1,8.930429077E-1,1.064838325E1
1.808997458E0,4.748126221E-1,-9.842183075E0,6.559359741E-1,9.875437545E0
1.818976458E0,9.617500305E-1,-9.367969208E0,7.930508423E-1,9.450541775E0
1.828954458E0,1.070124664E0,-9.175768890E0,1.018482056E0,9.293933894E0
1.838933458E0,8.768765259E-1,-8.949589233E0,1.492546234E0,9.115467851E0
1.848912458E0,6.165678406E-1,-8.537047119E0,2.072590027E0,8.806642881E0
1.858890458E0,3.944297791E-1,-8.355624390E0,2.185305634E0,8.645669118E0
1.868869458E0,1.839674377E-1,-8.306975555E0,1.826052704E0,8.507300122E0
1.878847458E0,1.037342834E-1,-8.329428864E0,1.405726776E0,8.447852613E0
1.888826458E0,3.734733582E-1,-8.465645599E0,1.858385468E0,8.675265662E0
1.898804458E0,8.601113892E-1,-8.429121552E0,2.633024597E0,8.872581375E0
1.908783458E0,1.202748871E0,-8.265212402E0,2.106868744E0,8.613897887E0
1.918761458E0,1.360670471E0,-8.108488312E0,8.223898315E-1,8.262888833E0
1.928740458E0,1.578168182E0,-7.979756012E0,2.245330811E-2,8.134348466E0
1.938718458E0,1.942660217E0,-8.054750061E0,-2.499801636E-2,8.285743911E0
1.948697458E0,2.181563416E0,-8.406518555E0,-2.665956116E-1,8.689064758E0
1.958675458E0,2.414179688E0,-8.826096039E0,-4.474195862E-1,9.161245501E0
1.968654458E0,2.459984436E0,-9.406738586E0,-7.095245361E-1,9.748932215E0
1.978632458E0,2.151326294E0,-9.784702606E0,-1.179397430E0,1.008759576E1
1.988611458E0,1.973645782E0,-9.931098175E0,-1.491797791E0,1.023462013E1
1.998589458E0,1.909129944E0,-9.937983856E0,-2.162552948E0,1.034818513E1
2.008568458E0,1.674567719E0,-9.556876373E0,-3.761378174E0,1.040605731E1
2.018546458E0,1.237925720E0,-9.028475189E0,-5.981860657E0,1.090084773E1
2.028525458E0,1.722917175E-1,-8.215216370E0,-7.074887695E0,1.084313148E1
2.038503458E0,-1.027912445E0,-7.959697723E0,-7.232509918E0,1.080382301E1
2.048482458E0,-1.834734650E0,-7.958649902E0,-6.672225037E0,1.054632384E1
2.058460458E0,-2.094145203E0,-8.090825043E0,-6.237528992E0,1.042850238E1
2.068439458E0,-1.754052429E0,-7.656877441E0,-6.143524475E0,9.972329971E0
2.078417458E0,-1.168470154E0,-6.477779388E0,-6.248755646E0,9.076006579E0
2.088396458E0,-4.291575623E-1,-4.977000275E0,-6.758445740E0,8.404242784E0
2.098374458E0,3.140469360E-1,-3.701352997E0,-7.289541321E0,8.181445603E0
2.108353458E0,5.764512634E-1,-3.029849396E0,-6.909331970E0,7.566449081E0
2.118331458E0,3.983216858E-1,-3.419788513E0,-5.818550262E0,6.760853555E0
2.128310458E0,1.115180969E-1,-4.472848663E0,-4.401447144E0,6.276268669E0
2.138288458E0,-2.176473999E-1,-5.655539246E0,-3.611390076E0,6.713764430E0
2.148267458E0,-5.631289673E-1,-7.016658783E0,-3.909869385E0,8.052185624E0
2.158245458E0,-8.271798706E-1,-8.516988831E0,-4.103716278E0,9.490195602E0
2.168224458E0,-1.058748322E0,-1.015847534E1,-4.629423065E0,1.121370265E1
2.178203458E0,-1.230890350E0,-1.185908890E1,-5.411097565E0,1.309324472E1
2.188181458E0,-1.822310486E0,-1.241623032E1,-5.419031067E0,1.366928998E1
2.198160458E0,-2.758463745E0,-1.158695480E1,-4.418062592E0,1.270377585E1
2.208138458E0,-2.820584564E0,-1.143936172E1,-3.115621033E0,1.218695156E1
2.218117458E0,-2.087109833E0,-1.226384720E1,-1.507964172E0,1.253123823E1
2.228095458E0,-8.572673035E-1,-1.328113174E1,-2.924468536E0,1.362629384E1
2.238074458E0,6.358776855E-1,-1.499940857E1,-6.569239197E0,1.638723593E1
2.248052458E0,2.153721313E0,-1.749756363E1,-8.316256256E0,1.949264904E1
2.258031458E0,3.561394043E0,-1.927047684E1,-6.844217377E0,2.075760383E1
2.268009458E0,4.409829712E0,-2.010963181E1,-4.051624603E0,2.098236286E1
2.277988458E0,5.248834991E0,-2.109682892E1,-1.452279968E0,2.178842758E1
2.287966458E0,6.499633942E0,-2.294353867E1,-2.121089172E-1,2.384735201E1
2.297945458E0,7.742499390E0,-2.608760056E1,-1.714684296E0,2.726626747E1
2.307923458E0,8.298443298E0,-2.988280838E1,-4.062402191E0,3.127857908E1
2.317903000E0,7.627239075E0,-3.283002960E1,-5.238656158E0,3.410907706E1
2.327881000E0,5.507048035E0,-3.222214371E1,-4.794978790E0,3.303915775E1
2.337860000E0,3.170856171E0,-2.725532227E1,-3.408412170E0,2.765003064E1
2.347838000E0,1.826801147E0,-2.102946899E1,-2.264790344E0,2.122981498E1
2.357817000E0,1.204994202E0,-1.570608902E1,-1.882185974E0,1.586429536E1
2.367795000E0,8.280780029E-1,-1.113669113E1,-1.785636749E0,1.130929269E1
2.377774000E0,5.797444153E-1,-7.190447388E0,-2.068249054E0,7.504418123E0
2.387752000E0,5.152285767E-1,-3.989054718E0,-2.300266571E0,4.633491591E0
2.397731000E0,5.360353088E-1,-1.492246857E0,-1.783990173E0,2.386787689E0
2.407709000E0,5.992039490E-1,1.889071655E-1,-7.620652771E-1,9.876612659E-1
2.417688000E0,5.508544922E-1,1.813329163E0,9.134005737E-1,2.103783243E0
2.427667000E0,3.974235535E-1,3.328628082E0,2.603535919E0,4.244538806E0
2.437645000E0,2.462379456E-1,4.351750488E0,3.325185242E0,5.482264343E0
2.447624000E0,1.046324158E-1,4.861141205E0,3.178340607E0,5.808914767E0
2.457602000E0,6.107299805E-2,4.838687897E0,2.064955902E0,5.261242567E0
2.467581000E0,8.981323242E-3,4.409380646E0,2.594105530E-1,4.417013944E0
2.477559000E0,-1.303788757E-1,3.601510620E0,-1.440753937E0,3.881191738E0
2.487538000E0,-2.812651062E-1,2.226619720E0,-2.406545563E0,3.290654492E0
2.497516000E0,-4.861889648E-1,2.447410583E-1,-2.922073517E0,2.972337722E0
2.507495000E0,-6.212081909E-1,-1.386267242E0,-3.167712708E0,3.513124006E0
2.517473000E0,-8.056246948E-1,-2.303709412E0,-2.926115112E0,3.810283172E0
2.527452000E0,-1.015937347E0,-2.832260284E0,-2.296075287E0,3.784942369E0
2.537430000E0,-1.268312531E0,-3.314856720E0,-1.741478577E0,3.953433872E0
2.547409000E0,-1.528621216E0,-3.594624939E0,-1.014590149E0,4.035765658E0
2.557387000E0,-1.722767487E0,-3.392694855E0,-7.873626709E-2,3.805851493E0
2.567366000E0,-1.823507996E0,-2.585273895E0,7.005432129E-1,3.240306053E0
2.577344000E0,-1.769620056E0,-1.411864014E0,1.158441010E0,2.543010167E0
2.587323000E0,-1.454225922E0,-4.174818420E-1,1.152752838E0,1.902078659E0
2.597301000E0,-8.771759033E-1,2.112107849E-1,9.026229858E-1,1.276235016E0
2.607280000E0,-1.805245972E-1,5.231620789E-1,5.896238708E-1,8.086680407E-1
2.617258000E0,4.610412598E-1,6.270460510E-1,7.858657837E-2,7.822542065E-1
2.627237000E0,8.758287048E-1,5.965095520E-1,-4.096980286E-1,1.136112688E0
2.637216000E0,9.547146606E-1,4.186793518E-1,-8.274792480E-1,1.330974977E0
2.647194000E0,8.716374207E-1,3.966751099E-2,-1.116528168E0,1.417025213E0
2.657173000E0,7.497908020E-1,-3.987707520E-1,-1.163231049E0,1.440246795E0
2.667151000E0,7.418572998E-1,-1.196611633E0,-1.151854706E0,1.819065946E0
2.677130000E0,8.054750061E-1,-2.205663300E0,-1.206940155E0,2.640160055E0
2.687108000E0,9.868977356E-1,-3.491639099E0,-2.080972595E0,4.182816955E0
2.697087000E0,1.552421722E0,-5.157973938E0,-3.424578552E0,6.382981013E0
2.707065000E0,2.680924988E0,-7.499255219E0,-5.036127319E0,9.422779102E0
2.717044000E0,4.075724487E0,-1.082683548E1,-8.745264130E0,1.450212196E1
2.727022000E0,5.545967102E0,-1.563887878E1,-1.211281128E1,2.054391583E1
2.737001000E0,5.564827881E0,-2.032174072E1,-4.827161865E0,2.161578005E1
2.746979000E0,4.359384613E0,-2.404045761E1,4.345762939E0,2.481599266E1
2.756958000E0,2.520608368E0,-2.638173889E1,5.061724091E0,2.698093149E1
2.766936000E0,-1.243913269E-1,-2.658651306E1,-5.243595886E0,2.709895658E1
2.776915000E0,-1.333277435E0,-2.553240509E1,-1.739218277E1,3.092198829E1
2.786894000E0,-1.236728210E0,-2.362537079E1,-1.116363510E1,2.615940348E1
2.796872000E0,-1.535207520E0,-1.949126770E1,9.610015869E-1,1.957523698E1
2.806851000E0,-1.702110443E0,-1.618239853E1,-2.670446777E-1,1.627385987E1
2.816829000E0,-8.785231018E-1,-1.651755157E1,-8.514893188E0,1.860388989E1
